iter	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.6903739188	0.6100672323	0.4029438822
5	0.6793375873	0.6295802898	0.4137622878
10	0.6700356299	0.6303383891	0.4189374334
15	0.661802647	0.6324170352	0.4247595408
20	0.6553864163	0.6339169194	0.4245878909
25	0.6498229592	0.6381599489	0.426801285
30	0.6453724375	0.6411553069	0.4308592547
35	0.6415307152	0.6510957597	0.4380253706
40	0.6380484405	0.6519718034	0.4389721627
45	0.6348623056	0.6579155218	0.4440709046
50	0.6316288282	0.65852294	0.4445462878
55	0.628595586	0.6594333496	0.4461821527
60	0.6255631754	0.6621218379	0.4479437395
65	0.6229030183	0.6638634918	0.4498545399
70	0.6204101119	0.6668096564	0.4527203065
75	0.6178385971	0.6702109462	0.4564315353
80	0.6158579758	0.6725687534	0.4582565991
85	0.6140962162	0.6731083095	0.4592433098
90	0.6123301881	0.6743628865	0.4609218437
95	0.6100677296	0.6776161129	0.4647277228
100	0.6087212974	0.6793141257	0.4666150271
105	0.6070899236	0.6803774541	0.4679596587
110	0.6051942304	0.6814022022	0.46923555
115	0.6037973513	0.682904252	0.4707711443
120	0.6021221275	0.682842077	0.4709727626
125	0.6006443117	0.6851548305	0.4730781201
130	0.5994135747	0.685707975	0.4734795458
135	0.5979954636	0.6879542612	0.4751552795
140	0.5964027287	0.6892118122	0.4762496119
145	0.5951243166	0.6899418912	0.4779423227
150	0.5938777802	0.6926520256	0.4805113814
155	0.5925527463	0.6954345681	0.4832319451
160	0.5911463877	0.6964713807	0.4842433697
165	0.5900896646	0.6965254853	0.4840268038
170	0.588497595	0.6984626342	0.4861154446
175	0.5869265911	0.6994567637	0.4870514821
180	0.585858559	0.7008604972	0.4884519351
185	0.5848074349	0.7015905122	0.4895279775
190	0.5837450573	0.7029528442	0.4908550883
195	0.5825293989	0.7033632037	0.4913213448
200	0.5814756693	0.7035233396	0.4916288531
205	0.5801919908	0.704584693	0.4930261714
210	0.5796835862	0.7049148747	0.4933396019
215	0.5789458979	0.7052449461	0.4936530324
220	0.5778209329	0.7065641303	0.4949067544
225	0.5770146147	0.7093180873	0.4976481656
230	0.5761686043	0.7077608749	0.4959273183
235	0.5754943903	0.7086201319	0.4969430945
240	0.5747060334	0.7094050064	0.4974937343
245	0.5740305998	0.7085798677	0.4968652038
250	0.5732569335	0.7081087772	0.497247995
255	0.5724783334	0.710459493	0.4992145774
260	0.5716201269	0.7112378039	0.5000785793
265	0.5711240292	0.7121776949	0.5012586532
270	0.5700802781	0.7119254657	0.5014182162
275	0.5693761287	0.7120516372	0.5013383719
280	0.5686134387	0.7129151462	0.5020459553
285	0.5676048341	0.7134901759	0.5025173065
290	0.5671186594	0.7136080346	0.5030732861
295	0.5663328526	0.7140172624	0.5035472174
300	0.5655770367	0.7148385325	0.5041752009
305	0.5650267224	0.7152500631	0.5043286636
310	0.5643753481	0.7160649325	0.505598486
315	0.5638595706	0.7161848124	0.5061611374
320	0.5634293309	0.7166752831	0.5067973443
325	0.5630447152	0.7168806412	0.5068731237
330	0.5622637867	0.7179450605	0.50765588
335	0.5614233199	0.7181062384	0.5086302454
340	0.560871786	0.7184744129	0.5090275578
345	0.5605163297	0.7186791677	0.509102422
